Name,Name:
TitleAlien,Alien
TitleSuccubus,Succubus
TitleIncubus,Incubus
TitleGoodGirl,Good Girl
TitleGoodSlaveGirl,Good Slave Girl
TitleGoodBoy,Good Boy
TitleGoodSlaveBoy,Good Slave Boy
TitleGoodSlave,Good Slave
TitleDrone,Drone
TitleMistree,Mistree
TitleGoodOne,Good One
TitleLiege,Liege
TitleConcubus,Concubus
TitleMajesty,Majesty
TitleCaptain,Captain
TitleAdmiral,Admiral
TitleDominatrix,Dominatrix
TitleMaiestas,Wizard
TitleVincula,Magician
TitleAmplector,Sage
TitleCorporis,Witch
Pronouns,Pronouns:
MemberNumber,Member Number:
NoMemberNumber,-
Relationships,- Relationships -
Lover,Lover:
Owner,Owner:
None,None
Unowned,Unowned
OwnerGGTS,GGTS
Money,Money:
MemberFor,Member for
JoinDate,Join Date
Birthday,Bondage Club Birthday! 
FriendsFor,Friends for
For,for
TrialBy,On trial by
CollaredBy,Collared by
DatingWith,Dating with
EngagedWith,Engaged with
MarriedWith,Married with
Days,day(s)
Unknown,Unknown
Reputation,- Reputation -
ReputationNone,None
ReputationGamingPositive,Dungeoneer:
ReputationDominantPositive,Dominant:
ReputationDominantNegative,Submissive:
ReputationMaidPositive,Maid Sorority:
ReputationKidnapPositive,Kidnappers League:
ReputationAsylumPositive,Asylum Nurse:
ReputationAsylumNegative,Asylum Patient:
ReputationLARPPositive,LARP Battles:
ReputationGamblingPositive,Gambling Hall:
ReputationABDLPositive,ABDL:
ReputationHouseMaiestasPositive,House Maiestas:
ReputationHouseVinculaPositive,House Vincula:
ReputationHouseAmplectorPositive,House Amplector:
ReputationHouseCorporisPositive,House Corporis:
DifficultyTitle,difficulty
DifficultyDaysTillCanChange, - Can change again in NumberOfDays day(s)
DifficultyLevel0,Roleplay
DifficultyLevel1,Regular
DifficultyLevel2,Hardcore
DifficultyLevel3,Extreme
Skill,- Skills -
SkillNone,None
SkillBondage,Bondage:
SkillSelfBondage,Self-bondage:
SkillLockPicking,Lockpicking:
SkillEvasion,Evasion:
SkillWillpower,Willpower:
SkillInfiltration,Infiltration:
SkillDressage,Dressage:
SkillModifier,ABSVAL for DURATION
Trait,- Traits -
TraitUnknown,Spend more time with her to know her traits
TraitDominant,Dominant:
TraitSubmissive,Submissive:
TraitViolent,Violent:
TraitPeaceful,Peaceful:
TraitHorny,Horny:
TraitFrigid,Frigid:
TraitRude,Rude:
TraitPolite,Polite:
TraitWise,Wise:
TraitDumb,Dumb:
TraitSerious,Serious:
TraitPlayful,Playful:
Relationship,Relation:
RelationshipPerfect,(Perfect)
RelationshipGreat,(Great)
RelationshipGood,(Good)
RelationshipFair,(Fair)
RelationshipNeutral,(Neutral)
RelationshipPoor,(Poor)
RelationshipBad,(Bad)
RelationshipHorrible,(Horrible)
RelationshipAtrocious,(Atrocious)
AllowedInteractions,Allowed interactions:
AllowedInteraction0,"Everyone, no exceptions"
AllowedInteraction1,"Everyone, except blacklist"
AllowedInteraction2,"Owner, Lovers, whitelist & Dominants"
AllowedInteraction3,"Owner, Lovers and whitelist only"
AllowedInteraction4,Owner and Lovers only
AllowedInteraction5,Owner only
